date,tweetId,name,tweet,created_at,location
2020-12-15  17:25,1338882701714223104,goodgrades002,"Essay due
Pay assignment 
Research paper 
paper pay
Homework
Data Analysis
Thesis
Computer
Chemistry
Home Science.… https://t.co/UiOYEtb6kD",2020-12-15 16:24:45,
2020-12-15  17:25,1338882588694470658,tinaell61718881,RT @maturefinancier: They cant justify one of their lockup measures not one. None of them work. They dont understand science or statistics.…,2020-12-15 16:24:19,
2020-12-15  17:25,1338882543219855364,apiitoor,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:24:08,"Madina, Ghana"
2020-12-15  17:25,1338882537528193025,SLPS_CCR,Did you know that @SLPS_INFO has over 20 Career and Technical Education programs that prepare students for the glob… https://t.co/YzDtBEebkP,2020-12-15 16:24:06,
2020-12-15  17:25,1338882498407895042,thequantumbot,"RT @time8machine: Linear algebra provides concepts that are crucial to many areas of computer science, including graphics, image processing…",2020-12-15 16:23:57,India
2020-12-15  17:25,1338882492548452359,ML_Tweet_Bot,"RT @time8machine: Linear algebra provides concepts that are crucial to many areas of computer science, including graphics, image processing…",2020-12-15 16:23:56,
2020-12-15  17:25,1338882469395828738,time8machine,"Linear algebra provides concepts that are crucial to many areas of computer science, including graphics, image proc… https://t.co/rJXKAxMnQN",2020-12-15 16:23:50,299 792 458 m / s
2020-12-15  17:25,1338882444708241408,excellent_smart,"Essay due
Pay assignment 
Research paper 
paper pay
Homework
Data Analysis
Thesis
Computer
Chemistry
Home Science.… https://t.co/qs0XSzyR8M",2020-12-15 16:23:44,
2020-12-15  17:25,1338882306631749635,acegraders,"Professional  writers ready to handle your
Teas test
Fall classes 
Case study
Essay due
Pay assignment 
Research pa… https://t.co/Jee6YHNhNk",2020-12-15 16:23:11,"Texas, USA"
2020-12-15  17:25,1338882287790923783,3pl_inc,RT @JeffBezos: Dropped in on an #AmazonFutureEngineer class at Dunbar H.S. in D.C. today. We’re committed to bringing more resources to kid…,2020-12-15 16:23:07,"Freeport, IL"
2020-12-15  17:25,1338882263564472322,DogRealtorAZ,@kyrstensinema @dougducey It’s almost as if you have a brain as well as a computer and can figure out this is all B… https://t.co/QE3lCHJwGN,2020-12-15 16:23:01,"Scottsdale, AZ"
2020-12-15  17:25,1338882169662545920,sikaena1,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:22:39,Everywhere❤️🖤💚💙💛
2020-12-15  17:25,1338882067820580871,NGMS_Library,@ArielAdrian @MatthewXJoseph @MattRhoads1990 @Teacherchick27 @EDUC8_2_EMPOWER @dgoble2001 @ChristineBemis2… https://t.co/AuEDzZu1uw,2020-12-15 16:22:14,"Greeneville, TN"
2020-12-15  17:25,1338882050397413376,1KrishnaPakala,"Featuring Engineering and Innovation Living Learning Program’s Class of 2020 - Brian Clow, BS, Computer Science

✅I… https://t.co/Yma1KjJZgW",2020-12-15 16:22:10,"Boise, ID"
2020-12-15  17:25,1338881913969397762,autiomaa,"@thefinaldownco @phillipsj73 @unixterminal At least that is what part of computer science historians say.
When impo… https://t.co/39YUxspoVZ",2020-12-15 16:21:38,"Helsinki, Finland 🇫🇮"
2020-12-15  17:25,1338881891550851073,_acheaw,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:21:32,
2020-12-15  17:25,1338881838027247616,BlairGrading,"Professional  writers ready to handle your
Teas test
Fall classes 
Case study
Essay due
Pay assignment 
Research pa… https://t.co/VNfepJh8qF",2020-12-15 16:21:20,"Massachusetts, USA"
2020-12-15  17:25,1338881734868230144,guy4mKnp,"RT @TiknisArts: There are few slam dunks in life, but it seems like a good bet when you pair a global icon like #LeBronJames with a campaig…",2020-12-15 16:20:55,
2020-12-15  17:25,1338881716862279682,JetherBlaise,"Very interesting the way language bleeds from one domain into another: from biology to computer science (viruses, i… https://t.co/CBgtOPPemV",2020-12-15 16:20:51,New York City
2020-12-15  17:25,1338881702505099274,D1OREUPHORIA,@WALLSGLDEN6 idk it’s just computer science principles so 🤥,2020-12-15 16:20:47,CARRD BYF # minor 
2020-12-15  17:25,1338881600684175360,ev_ans__,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:20:23,Koftown Boy ⚠️
2020-12-15  17:25,1338881586679455747,CuurlGod,Theoretical Computer Science Final ✅,2020-12-15 16:20:20,
2020-12-15  17:25,1338881491242139650,JAEM1NA,"RT @straynations: he picks up new skills with a snap of a finger, hes so smart he used to major in computer science, he had the shortest tr…",2020-12-15 16:19:57,skz nct  ♡ 
2020-12-15  17:25,1338881487006015488,TiknisArts,"There are few slam dunks in life, but it seems like a good bet when you pair a global icon like #LeBronJames with a… https://t.co/y8jSrRsRLO",2020-12-15 16:19:56,"Buchanan, MI"
2020-12-15  17:25,1338881377475956737,WalesGoats,"@ACCgoats I'm a goat herding biologist, and I live with a goat herding chemist-turned computer programmer.  If we a… https://t.co/4OJvksAJcy",2020-12-15 16:19:30,"Pembrokeshire, United Kingdom"
2020-12-15  17:25,1338881335046369282,Abrantielove,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:19:20,
2020-12-15  17:25,1338881266469498882,m_kelvin29,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:19:03,earth
2020-12-15  17:25,1338881263931813888,blacklist1993,RT @matthew_d_green: If this was computer science someone would already have designed a dozen whole new languages just to improve on this o…,2020-12-15 16:19:03,
2020-12-15  17:25,1338881201856262148,Sharyf__,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:18:48,🇬🇭|🇸🇩
2020-12-15  17:25,1338881089419370496,Z62Sony,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:18:21,
2020-12-15  17:25,1338881038626549768,TodoOposiciones,#oposiciones https://t.co/KM8OpH4GMB 4360 – Research Science¿BIG-MAP European Project¿Engineer in Computer #empleopublico #empleo,2020-12-15 16:18:09,España
2020-12-15  17:25,1338881027213766656,obiaabaeny3,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:18:06,Online
2020-12-15  17:25,1338880953779953664,Nanapercy_,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:17:49,🌵
2020-12-15  17:25,1338880944565063682,vclaTUwien,#LogicDay The Vienna Center for Logic and Algorithms at TU Wien @tuvienna represents six research groups working on… https://t.co/RRYplrXXfJ,2020-12-15 16:17:47,"Vienna, Austria"
2020-12-15  17:25,1338880883584012288,ShuliGilutz,Child–Computer Interaction in times of a pandemic 👈🏼New article by @cfrauenberger &amp; @alissaantle.  International Jo… https://t.co/vZSc4Tmtul,2020-12-15 16:17:32,
2020-12-15  17:25,1338880875795075072,aaronclauset,RT @kdphd: My dept is hiring! 2 year visiting CS position. We're research and teaching focused with a load that includes supervising senior…,2020-12-15 16:17:30,"Boulder, CO"
2020-12-15  17:25,1338880864189636611,7Chapterz,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:17:27,"Central, Ghana"
2020-12-15  17:25,1338880641891508226,Perrymoore__,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:16:34,"Kumasi, Ghana"
2020-12-15  17:25,1338880596987273216,daddys_onlyson,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:16:24,Kumerica
2020-12-15  17:25,1338880538111827971,tomliamlynch,RT @NYSEDNews: The Board of Regents adopted NY’s first-ever K-12 Learning Standards for Computer Science &amp; Digital Fluency. The standards w…,2020-12-15 16:16:10,"Bronx, NY"
2020-12-15  17:25,1338880525054853121,trendsinAI,RT @JohnMaynardCPA: Can computer science be a catalyst for social justice? #AI #computerscience #data4good @evankirstel @Paula_Piccard @dig…,2020-12-15 16:16:07,
2020-12-15  17:25,1338880501336006656,JohnMaynardCPA,Can computer science be a catalyst for social justice? #AI #computerscience #data4good @evankirstel @Paula_Piccard… https://t.co/uQ3zzd00Ok,2020-12-15 16:16:01,USA
2020-12-15  17:25,1338880470843592711,myselfghh,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:15:54,
2020-12-15  17:25,1338880421690552320,_KynLegacy,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:15:42,Ghana
2020-12-15  17:25,1338880381756600322,mrtomocon,RT @NYSEDNews: The Board of Regents adopted NY’s first-ever K-12 Learning Standards for Computer Science &amp; Digital Fluency. The standards w…,2020-12-15 16:15:32,"New York, USA"
2020-12-15  17:25,1338880361867202562,ML_Tweet_Bot,"RT @itsafronomics: Good morning to everyone but University of Texas Computer Science department @UTCompSci, which has been using a  biased…",2020-12-15 16:15:28,
2020-12-15  17:25,1338880361187700737,Beyond__Kontrol,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:15:27,Beyond The Earth
2020-12-15  17:25,1338880353713475589,D1OREUPHORIA,@WALLSGLDEN6 NOT LOORAM AW BUT MY COMPUTER SCIENCE CLASS,2020-12-15 16:15:26,CARRD BYF # minor 
2020-12-15  17:25,1338880344683065344,SuperiorTutors2,"RT @online_excel: Don't fail! The home of best grades is here
#Pay essay
#homework
#assignment
#chemistry 
#code Java Python C#
#programmin…",2020-12-15 16:15:24,
2020-12-15  17:25,1338880294322135040,Essel_guy,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:15:12,Akurase bi Koraa
2020-12-15  17:25,1338880267663110146,SuperiorTutors2,"RT @online_excel: Professional  writers ready to handle your
Teas test
Fall classes 
Case study
Essay due
Pay assignment 
Research paper 
p…",2020-12-15 16:15:05,
2020-12-15  17:25,1338880251431153666,MacEwanU,Now that's exciting news! 12 computer science students our Bachelor of Science and Bachelor of Arts programs will r… https://t.co/Ig20kyi4ne,2020-12-15 16:15:01,"Edmonton, AB Canada"
2020-12-15  17:25,1338880188034265090,KayStunner3,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:14:46,Ghana
2020-12-15  17:25,1338880167163404288,_amkwabs,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:14:41,🔝
2020-12-15  17:25,1338880162511933440,Kojo_anakin,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:14:40,Accra 
2020-12-15  17:25,1338880143000002560,BrownDuffour,"RT @schoolingermany: You should have completed a bachelor in Engineering, Biology, Biochemistry,  History, Economics, Business, Agriculture…",2020-12-15 16:14:35,No Where Cool
2020-12-15  17:25,1338880128517087234,Opresii,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:14:32,Ghana
2020-12-15  17:25,1338880110867386370,LoRmI_,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:14:28,
2020-12-15  17:25,1338880025056129024,enti_de3n,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:14:07,"Kasoa, Ghana"
2020-12-15  17:25,1338879965916508164,tripple_a,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:53,"Sekondi Takoradi, Ghana"
2020-12-15  17:25,1338879941690187780,Peronzy5,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:47,East Legon
2020-12-15  17:25,1338879927345684481,sav_age43,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:44,
2020-12-15  17:25,1338879914817314817,nautikalone,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:41,"Greater Accra, Ghana"
2020-12-15  17:25,1338879885138415616,tk_selasie,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:34,Somewhere In Ghana
2020-12-15  17:25,1338879776996651009,k__mane1,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:08,Adenta
2020-12-15  17:25,1338879768188645376,aboafunu_,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:06,"Accra, Ghana"
2020-12-15  17:25,1338879756272627713,drayy09,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:13:03,Taifa Boy⚠️
2020-12-15  17:25,1338879736320319488,SwissRich71,"@jonworth My wife has a 1st class degree, a PhD, worked 30 years in science, and is now doing a masters in the neur… https://t.co/JPPyezZARF",2020-12-15 16:12:58,Switzerland
2020-12-15  17:25,1338879731643650048,Nipa_Y3_Bad,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:12:57,"Tema, Ghana"
2020-12-15  17:25,1338879664010514432,_lil_fresh,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:12:41,"Accra, Ghana"
2020-12-15  17:25,1338879623439003651,_ewuraadwoa,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:12:32,"Greater Accra, Ghana"
2020-12-15  17:25,1338879617533407234,KingJerrry,RT @drayy09: Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂😂💔🤔🤔 Obaa d…,2020-12-15 16:12:30,Instagram.com #Chairman_pay
2020-12-15  17:25,1338879515922194439,HBUEngineering,Raspberry Pi Project Alert! Computer Science freshmen were tasked with creating a SMART parking garage model. Each… https://t.co/Mb5VepK5ly,2020-12-15 16:12:06,"Houston, TX"
2020-12-15  17:25,1338879496510902274,drayy09,Akua Saucy the way you dey talk about this IPhone then Android Agenda dier eii why you be phone repairer or what?😂😂… https://t.co/0EQjxC8y5q,2020-12-15 16:12:01,Taifa Boy⚠️
2020-12-15  17:25,1338879443956359170,online_excel,"Professional  writers ready to handle your
Teas test
Fall classes 
Case study
Essay due
Pay assignment 
Research pa… https://t.co/KxV5ctmoKQ",2020-12-15 16:11:49,United States🇺🇲
2020-12-15  17:25,1338879423487995905,WIC_Science,I love assessing the kids projects in computer science and coding. I can see myself spending quite a lot of time ov… https://t.co/WfYVkFbeGv,2020-12-15 16:11:44,"Calgary, Alberta"
2020-12-15  17:25,1338879015122243587,superb_pro,"Get Expert Help with all your Assignments:

#Pay essay due
#homework
#assignment
#programming 
#computer science… https://t.co/rVV63q8hcw",2020-12-15 16:10:07,United States
2020-12-15  17:25,1338878945270312961,SlimChaby,My son has 100% in Computer Science. His final project he did but then wanted to make it cooler so watched tutorial… https://t.co/dRI3pZmqbB,2020-12-15 16:09:50,Rocky Mountain High
2020-12-15  17:25,1338878932704239618,EssayprohH,"Don't fail! The home of best grades is here
#Pay essay
#homework
#assignment
#chemistry 
#code Java Python C#… https://t.co/DBCdhmDwVW",2020-12-15 16:09:47,
2020-12-15  17:25,1338878898461958145,IdealWriters01,"We are available 24 /7
Teas test
Fall classes 
Case study
Essay due
Pay assignment 
Research paper 
paper pay
Homew… https://t.co/KZCp2J6kwj",2020-12-15 16:09:39,"Los Angeles, CA"
2020-12-15  17:25,1338878888550797313,iSnuggleTae,@iBakedJin COMPUTER  SCIENCE  AAA,2020-12-15 16:09:36,우리 만남은 우연이 아니야 너를 만난 건 내 바램이었어 너는 꽃이고 나는 벌이야 너는 꿀이고 나는 곰이야
2020-12-15  17:25,1338878885778370562,EssayprohH,"We help ensure you get good grades in;
Final paper
PowerPoint
Computer science 
Geometry
Sociology
Data analysis
Th… https://t.co/flHwtlKm23",2020-12-15 16:09:36,
2020-12-15  17:25,1338878797760827394,IdealWriters01,"We help ensure you get good grades in;
Final paper
PowerPoint
Computer science 
Geometry
Sociology
Data analysis
Th… https://t.co/fd0ewIoFPw",2020-12-15 16:09:15,"Los Angeles, CA"
2020-12-15  17:25,1338878793012883456,online_excel,"Don't fail! The home of best grades is here
#Pay essay
#homework
#assignment
#chemistry 
#code Java Python C#… https://t.co/sEJ7kgM8XM",2020-12-15 16:09:14,United States🇺🇲
2020-12-15  17:25,1338878780769767425,CoachHopperton,"RT @MountStJosephU: Interested in computer science?

Join us today at 4pm for the latest Climb Higher webinar, where you can connect with p…",2020-12-15 16:09:11,"Cincinnati, OH"
2020-12-15  17:25,1338878571394211842,Robertdrowninjr,RT @hoeforkfc: if you're dating a computer science student you're single to me. tf he gonna do ? call me a bitch in his programming languag…,2020-12-15 16:08:21,"Lucknow, India"
2020-12-15  17:25,1338878524304871424,SixgillTech,"This makes our nerd brains happy! Neuroscience can tell us a lot about the brain's visual processing system, which… https://t.co/wab3xyRNFY",2020-12-15 16:08:10,"San Francisco, CA"
2020-12-15  17:25,1338878498002374660,StudyinBritain,"𝗗𝗶𝗰𝗶𝗲𝗺𝗯𝗿𝗲 𝟭𝟲

Computer Science Masterclass: ""An introduction to machine learning: from linear regression to self-dr… https://t.co/4nh51MWyqF",2020-12-15 16:08:03,Latin America
2020-12-15  17:25,1338878388715581440,AlterRita,@nildnl @Rob_Ferguson90 @samfoster99 BDS is an antisemitic organisation parading as a legitimate entity. If you agr… https://t.co/RPev7Lbb9v,2020-12-15 16:07:37,London
2020-12-15  17:25,1338878336425144321,distantsuns,"In a new study, Professor Toby Tyrrell, a specialist on Earth system science at the University of Southampton, set… https://t.co/FVc33jX5PN",2020-12-15 16:07:25,"San Jose, CA"
2020-12-15  17:25,1338878322080624640,dacheezta,i am a 4+ year computer science student and just google how many bits in a byte,2020-12-15 16:07:21,"Gainesville, FL"
2020-12-15  17:25,1338878085102514181,KyMakerminded,"RT @AP_Trevor: From @washingtonpost and @wpnick: New AP Computer Science Principles research shows that the course is helping more Black, H…",2020-12-15 16:06:25,"Kentucky, USA"
2020-12-15  17:25,1338877926406811651,ZpeedTube,"RT @avee_nain: How to explain integer, short &amp; long to new student in computer science? #aveenain #technerd #contentcreator #boringguy #css…",2020-12-15 16:05:47,Finland
